name,date,rank,diff
워드퍼즐 - 단어 게임,2019_09_20,12,0
워드퍼즐 - 단어 게임,2019_09_21,12,0
워드퍼즐 - 단어 게임,2019_09_22,12,1
워드퍼즐 - 단어 게임,2019_09_23,13,1
워드퍼즐 - 단어 게임,2019_09_24,12,3
워드퍼즐 - 단어 게임,2019_09_25,9,0
워드퍼즐 - 단어 게임,2019_09_26,9,3
워드퍼즐 - 단어 게임,2019_09_27,6,1
워드퍼즐 - 단어 게임,2019_09_28,7,3
워드퍼즐 - 단어 게임,2019_09_29,10,3
워드퍼즐 - 단어 게임,2019_09_30,13,1
워드퍼즐 - 단어 게임,2019_10_01,14,1
워드퍼즐 - 단어 게임,2019_10_02,13,2
워드퍼즐 - 단어 게임,2019_10_03,11,0
워드퍼즐 - 단어 게임,2019_10_04,11,1
워드퍼즐 - 단어 게임,2019_10_05,12,1
워드퍼즐 - 단어 게임,2019_10_06,11,1
워드퍼즐 - 단어 게임,2019_10_07,12,1
워드퍼즐 - 단어 게임,2019_10_08,11,1
워드퍼즐 - 단어 게임,2019_10_09,10,3
워드퍼즐 - 단어 게임,2019_10_10,7,3
워드퍼즐 - 단어 게임,2019_10_11,10,1
워드퍼즐 - 단어 게임,2019_10_12,9,3
워드퍼즐 - 단어 게임,2019_10_13,12,7
워드퍼즐 - 단어 게임,2019_10_14,19,0
워드퍼즐 - 단어 게임,2019_10_15,19,2
워드퍼즐 - 단어 게임,2019_10_16,17,4
워드퍼즐 - 단어 게임,2019_10_17,13,2
워드퍼즐 - 단어 게임,2019_10_18,15,1
워드퍼즐 - 단어 게임,2019_10_19,14,6
워드퍼즐 - 단어 게임,2019_10_20,20,9
워드퍼즐 - 단어 게임,2019_10_21,29,3
워드퍼즐 - 단어 게임,2019_10_22,26,0
워드퍼즐 - 단어 게임,2019_10_23,26,0
워드퍼즐 - 단어 게임,2019_10_24,26,4
워드퍼즐 - 단어 게임,2019_10_25,22,0
워드퍼즐 - 단어 게임,2019_10_26,22,18
워드퍼즐 - 단어 게임,2019_10_27,40,6
워드퍼즐 - 단어 게임,2019_10_28,46,3
워드퍼즐 - 단어 게임,2019_10_29,43,7
워드퍼즐 - 단어 게임,2019_10_30,36,8
워드퍼즐 - 단어 게임,2019_10_31,28,4
워드퍼즐 - 단어 게임,2019_11_01,24,6
워드퍼즐 - 단어 게임,2019_11_02,30,3
워드퍼즐 - 단어 게임,2019_11_03,27,14
워드퍼즐 - 단어 게임,2019_11_04,41,20
워드퍼즐 - 단어 게임,2019_11_05,61,14
워드퍼즐 - 단어 게임,2019_11_06,47,14
워드퍼즐 - 단어 게임,2019_11_07,33,6
워드퍼즐 - 단어 게임,2019_11_08,27,6
워드퍼즐 - 단어 게임,2019_11_09,33,4
워드퍼즐 - 단어 게임,2019_11_10,29,3
워드퍼즐 - 단어 게임,2019_11_11,26,4
워드퍼즐 - 단어 게임,2019_11_12,22,4
워드퍼즐 - 단어 게임,2019_11_13,18,6
워드퍼즐 - 단어 게임,2019_11_14,12,0
워드퍼즐 - 단어 게임,2019_11_15,12,5
워드퍼즐 - 단어 게임,2019_11_16,7,0
워드퍼즐 - 단어 게임,2019_11_17,7,3
워드퍼즐 - 단어 게임,2019_11_18,10,2
워드퍼즐 - 단어 게임,2019_11_19,8,0
워드퍼즐 - 단어 게임,2019_11_20,8,1
워드퍼즐 - 단어 게임,2019_11_21,7,2
워드퍼즐 - 단어 게임,2019_11_22,5,3
워드퍼즐 - 단어 게임,2019_11_23,8,1
워드퍼즐 - 단어 게임,2019_11_24,7,3
워드퍼즐 - 단어 게임,2019_11_25,10,2
워드퍼즐 - 단어 게임,2019_11_26,12,0
워드퍼즐 - 단어 게임,2019_11_27,12,0
워드퍼즐 - 단어 게임,2019_11_28,12,0
워드퍼즐 - 단어 게임,2019_11_29,12,0
애프터라이프,2019_11_20,101,0
애프터라이프,2019_11_21,101,43
애프터라이프,2019_11_22,58,52
애프터라이프,2019_11_23,6,5
애프터라이프,2019_11_24,11,7
애프터라이프,2019_11_25,18,5
애프터라이프,2019_11_26,23,4
애프터라이프,2019_11_27,27,0
애프터라이프,2019_11_28,27,2
애프터라이프,2019_11_29,25,0
엑소스 히어로즈,2019_11_20,101,89
엑소스 히어로즈,2019_11_21,12,11
엑소스 히어로즈,2019_11_22,1,0
엑소스 히어로즈,2019_11_23,1,0
엑소스 히어로즈,2019_11_24,1,1
엑소스 히어로즈,2019_11_25,2,1
엑소스 히어로즈,2019_11_26,3,2
엑소스 히어로즈,2019_11_27,5,1
엑소스 히어로즈,2019_11_28,6,2
엑소스 히어로즈,2019_11_29,8,0
무한의 농장,2019_09_01,101,0
무한의 농장,2019_09_02,101,0
무한의 농장,2019_09_03,101,0
무한의 농장,2019_09_04,101,0
무한의 농장,2019_09_05,101,0
무한의 농장,2019_09_06,101,0
무한의 농장,2019_09_07,101,0
무한의 농장,2019_09_08,101,0
무한의 농장,2019_09_09,101,0
무한의 농장,2019_09_10,101,0
무한의 농장,2019_09_11,101,0
무한의 농장,2019_09_12,101,0
무한의 농장,2019_09_13,101,0
무한의 농장,2019_09_14,101,0
무한의 농장,2019_09_15,101,0
무한의 농장,2019_09_16,101,0
무한의 농장,2019_09_17,101,0
무한의 농장,2019_09_18,101,0
무한의 농장,2019_09_19,101,0
무한의 농장,2019_09_20,101,0
무한의 농장,2019_09_21,101,0
무한의 농장,2019_09_22,101,0
무한의 농장,2019_09_23,101,0
무한의 농장,2019_09_24,101,0
무한의 농장,2019_09_25,101,0
무한의 농장,2019_09_26,101,0
무한의 농장,2019_09_27,101,0
무한의 농장,2019_09_28,101,0
무한의 농장,2019_09_29,101,0
무한의 농장,2019_09_30,101,0
무한의 농장,2019_10_01,101,0
무한의 농장,2019_10_02,101,0
무한의 농장,2019_10_03,101,0
무한의 농장,2019_10_04,101,0
무한의 농장,2019_10_05,101,0
무한의 농장,2019_10_06,101,0
무한의 농장,2019_10_07,101,0
무한의 농장,2019_10_08,101,0
무한의 농장,2019_10_09,101,0
무한의 농장,2019_10_10,101,0
무한의 농장,2019_10_11,101,0
무한의 농장,2019_10_12,101,1
무한의 농장,2019_10_13,100,19
무한의 농장,2019_10_14,81,2
무한의 농장,2019_10_15,83,2
무한의 농장,2019_10_16,85,10
무한의 농장,2019_10_17,75,18
무한의 농장,2019_10_18,57,1
무한의 농장,2019_10_19,56,24
무한의 농장,2019_10_20,32,1
무한의 농장,2019_10_21,31,0
무한의 농장,2019_10_22,31,0
무한의 농장,2019_10_23,31,6
무한의 농장,2019_10_24,37,8
무한의 농장,2019_10_25,45,1
무한의 농장,2019_10_26,46,20
무한의 농장,2019_10_27,66,19
무한의 농장,2019_10_28,47,6
무한의 농장,2019_10_29,53,16
무한의 농장,2019_10_30,69,10
무한의 농장,2019_10_31,59,6
무한의 농장,2019_11_01,53,15
무한의 농장,2019_11_02,68,39
무한의 농장,2019_11_03,29,20
무한의 농장,2019_11_04,49,4
무한의 농장,2019_11_05,45,18
무한의 농장,2019_11_06,27,9
무한의 농장,2019_11_07,18,1
무한의 농장,2019_11_08,19,2
무한의 농장,2019_11_09,21,2
무한의 농장,2019_11_10,19,3
무한의 농장,2019_11_11,16,0
무한의 농장,2019_11_12,16,0
무한의 농장,2019_11_13,16,1
무한의 농장,2019_11_14,17,0
무한의 농장,2019_11_15,17,2
무한의 농장,2019_11_16,19,5
무한의 농장,2019_11_17,14,1
무한의 농장,2019_11_18,13,1
무한의 농장,2019_11_19,14,1
무한의 농장,2019_11_20,13,2
무한의 농장,2019_11_21,15,1
무한의 농장,2019_11_22,16,1
무한의 농장,2019_11_23,15,1
